ID	condition	text	text2	age	gender	hand	resp	RTs	resp_eff	w1	conc1	w2	conc2	sim	delta_conc	freq1	logfreq1	freq2	logfreq2	delta_freq	to_resp	count	distance	Sim	accuracy	trial	L1	L2	L_diff	subj
1	A	infedele	sposa	24	M	DX	a	2158	infedele	infedele	4,7	sposa	8,4	0,335909	3,7	322	2,507855872	3982	3,600101256	0,0366	infedele	1	0,664091	0,335909	1	infedelesposa	8	5	3	1
1	A	veloce	vespa	24	M	DX	a	1182	veloce	veloce	5,05	vespa	8,55	0,134385	3,5	9876	3,994581081	194	2,28780173	0,09682	veloce	1	0,865615	0,134385	1	velocevespa	6	5	1	1
1	A	poltrona	fiducia	24	M	DX	l	1339	fiducia	fiducia	4,05	poltrona	8,6	0,197628	4,55	5456	3,736874362	773	2,888179494	0,04683	fiducia	1	0,802372	0,197628	1	fiduciapoltrona	8	7	1	1
1	A	bicicletta	passione	24	M	DX	l	1890	passione	passione	4,8	bicicletta	8,85	0,268715	4,05	2456	3,390228362	1303	3,114944416	0,01153	passione	1	0,731285	0,268715	1	passionebicicletta	10	8	2	1
2	B	musica	violino	23	F	DX	l	2088,4	violino	musica	5,5	violino	8,4	0,389862	2,9	11133	4,046612209	603	2,780317312	0,1053	violino	1	0,610138	0,389862	1	musicaviolino	6	7	1	2
2	B	incidente	colpa	23	F	DX	a	1607,8	incidente	colpa	3,95	incidente	7,45	0,251615	3,5	25388	4,40462849	11987	4,078710505	0,13401	incidente	1	0,748385	0,251615	1	colpaincidente	9	5	4	2
2	B	rasoio	stritolare	23	F	DX	a	1479,8	rasoio	stritolare	5,3	rasoio	8,7	0,231383	3,4	10	1	569	2,755112266	0,00559	rasoio	1	0,768617	0,231383	1	stritolarerasoio	6	10	4	2
2	B	mercato	vantaggio	23	F	DX	a	1347,2	mercato	vantaggio	3,7	mercato	7,55	0,181156576	3,85	2571	3,410102077	4237	3,627058464	0,01666	mercato	1	0,818843	0,181157	1	vantaggiomercato	7	9	2	2
2	B	libreria	spazio	23	F	DX	a	1112,3	libreria	spazio	4,75	libreria	8,6	0,154109	3,85	7786	3,891314399	670	2,826074803	0,07116	libreria	1	0,845891	0,154109	1	spaziolibreria	8	6	2	2
2	B	magnifico	zanzara	23	F	DX	l	1229,1	zanzara	magnifico	3,2	zanzara	8,25	0,022077	5,05	4284	3,631849462	151	2,178976947	0,04133	zanzara	1	0,977923	0,022077	1	magnificozanzara	9	7	2	2
2	B	ostile	nuvoloso	23	F	DX	l	2105,1	nuvoloso	ostile	3,8	nuvoloso	6,9	0,229042	3,1	654	2,815577748	84	1,924279286	0,0057	nuvoloso	1	0,770958	0,229042	1	ostilenuvoloso	6	8	2	2
2	B	pianta	saggio	23	F	DX	a	1314,9	pianta	saggio	5,9	pianta	8,55	0,082313	2,65	1912	3,281487888	1213	3,083860801	0,00699	pianta	1	0,917687	0,082313	1	saggiopianta	6	6	0	2
2	B	facile	morbido	23	F	DX	l	1707,7	morbido	facile	3,7	morbido	6,85	0,250864	3,15	15858	4,200248414	422	2,625312451	0,15436	morbido	1	0,749136	0,250864	1	facilemorbido	6	7	1	2
2	B	poesia	penna	23	F	DX	l	1051,9	penna	poesia	5,85	penna	8,45	0,341412	2,6	1829	3,262213705	2134	3,329194415	0,00305	penna	1	0,658588	0,341412	1	poesiapenna	6	5	1	2
2	B	pentola	mente	23	F	DX	a	854	pentola	mente	4,6	pentola	8,6	0,136738	4	17014	4,230806428	492	2,691965103	0,16522	pentola	1	0,863262	0,136738	1	mentepentola	7	5	2	2
2	B	abito	solenne	23	F	DX	a	945,9	abito	solenne	3,7	abito	8,6	0,189552	4,9	241	2,382017043	2642	3,421932813	0,02401	abito	1	0,810448	0,189552	1	solenneabito	5	7	2	2
2	B	prete	devoto	23	F	DX	a	1730,1	prete	devoto	3,8	prete	8,3	0,233061	4,5	327	2,514547753	2656	3,424228071	0,02329	prete	1	0,766939	0,233061	1	devotoprete	5	6	1	2
2	B	farfalla	fantasia	23	F	DX	a	1172,3	farfalla	fantasia	3	farfalla	8,2	0,284001	5,2	1728	3,237543738	632	2,800717078	0,01096	farfalla	1	0,715999	0,284001	1	fantasiafarfalla	8	8	0	2
